Symbol,Date,Open,High,Low,Close,Adj Close,Volume
bbl,2017-02-01,174.5,175.5,173.5,175.5,169.355362,5953500.0
bbl,2017-02-02,175.0,177.0,174.5,175.5,169.355362,5250500.0
bbl,2017-02-03,175.0,178.5,175.0,178.5,172.250336,5470600.0
bbl,2017-02-06,178.5,181.5,178.5,180.5,174.18031299999996,8150800.0
bbl,2017-02-07,180.5,181.0,179.0,180.0,173.697815,3648600.0
bbl,2017-02-08,180.0,180.0,178.5,179.0,172.732819,2574200.0
bbl,2017-02-09,179.5,182.5,179.5,181.0,174.662796,7290700.0
bbl,2017-02-10,182.0,182.5,181.0,182.5,176.110275,3589100.0
bbl,2017-02-13,182.5,182.5,182.5,182.5,176.110275,0.0
bbl,2017-02-14,182.0,182.5,179.0,179.0,172.732819,2841700.0
ktb,2017-02-01,19.0,19.200001,18.9,19.200001,18.366062,21752200.0
ktb,2017-02-02,19.200001,19.200001,18.9,19.0,18.174747,40206000.0
ktb,2017-02-03,19.0,19.1,18.9,19.1,18.270405,48912400.0
ktb,2017-02-06,19.200001,19.299999,18.9,19.0,18.174747,77639200.0
ktb,2017-02-07,18.9,19.1,18.799999,19.0,18.174747,49866700.0
ktb,2017-02-08,19.0,19.200001,18.9,19.0,18.174747,57530300.0
ktb,2017-02-09,19.1,19.700001,19.1,19.5,18.65303,142179400.0
ktb,2017-02-10,19.6,19.6,19.4,19.4,18.557373,55991300.0
ktb,2017-02-13,19.4,19.4,19.4,19.4,18.557373,0.0
ktb,2017-02-14,19.5,19.700001,19.200001,19.4,18.557373,69731100.0
scb,2017-02-01,150.5,153.0,150.5,152.0,146.727814,6969200.0
scb,2017-02-02,152.0,153.0,151.0,151.0,145.76251200000004,6529100.0
scb,2017-02-03,151.0,153.5,151.0,153.0,147.69313,6597700.0
scb,2017-02-06,154.0,155.0,153.5,154.5,149.141098,9901200.0
scb,2017-02-07,154.5,155.0,153.5,154.0,148.658447,3802600.0
scb,2017-02-08,153.5,154.5,153.0,154.0,148.658447,5747300.0
scb,2017-02-09,154.5,156.0,153.5,154.0,148.658447,6157400.0
scb,2017-02-10,154.5,155.0,154.0,154.0,148.658447,9620500.0
scb,2017-02-13,154.0,154.0,154.0,154.0,148.658447,0.0
scb,2017-02-14,155.0,156.0,153.0,154.0,148.658447,9754000.0
