director_id,movie_id
429,300229
2931,254943
9247,124110
11652,10920
11652,333856
14927,192017
15092,109093
15092,237431
15093,109093
15093,237431
15901,130128
15906,194874
16816,350424
17810,297838
22104,224842
24758,112290
28395,46169
35573,18979
35838,257264
37872,300229
38746,238695
41975,314965
44291,17173
46315,344203
48115,313459
56332,192017
58201,30959
58201,210511
65940,111813
66849,306032
68161,116907
74758,238072
76524,167324
78273,176711
78273,176712
78273,267038
78273,276217
82525,147603
83616,207992
83617,207992
88802,256630
